"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.06.2025","21,35","21,80","21,81","21,35","32,78M","-2,11%"
"18.06.2025","21,81","21,93","21,99","21,71","29,65M","-0,41%"
"17.06.2025","21,90","22,02","22,07","21,71","33,28M","-0,36%"
"16.06.2025","21,98","21,78","22,17","21,70","34,99M","1,81%"
"13.06.2025","21,59","21,38","21,65","21,24","32,99M","0,79%"
"12.06.2025","21,42","21,39","21,50","21,04","28,56M","0,09%"
"11.06.2025","21,40","21,50","21,83","21,40","32,02M","-0,65%"
"10.06.2025","21,54","21,88","21,91","21,30","42,93M","-0,87%"
"09.06.2025","21,73","21,71","22,00","21,47","47,58M","0,09%"
"06.06.2025","21,71","22,35","22,35","21,70","56,47M","-2,38%"
"05.06.2025","22,24","22,40","22,53","22,24","40,21M","-0,49%"
"04.06.2025","22,35","23,06","23,13","22,35","38,16M","-2,74%"
"03.06.2025","22,98","22,97","23,08","22,78","20,73M","0,55%"
"02.06.2025","22,86","23,09","23,17","22,74","36,14M","-0,60%"
"30.05.2025","22,99","23,32","23,40","22,92","53,16M","-1,18%"
"29.05.2025","23,27","23,59","23,63","23,21","43,40M","-1,58%"
"28.05.2025","23,64","24,15","24,20","23,63","31,70M","-1,99%"
"27.05.2025","24,12","24,47","24,75","24,10","30,25M","-2,22%"
"26.05.2025","24,67","24,51","24,74","24,50","11,53M","1,02%"
"23.05.2025","24,42","25,07","25,09","24,42","35,80M","-2,51%"
"22.05.2025","25,05","25,20","25,42","25,05","61,13M","-0,83%"
"21.05.2025","25,26","25,58","25,66","25,17","33,93M","-0,94%"
"20.05.2025","25,50","25,09","25,67","25,09","28,08M","1,84%"
"19.05.2025","25,04","25,65","25,70","25,01","60,00M","-2,45%"
"16.05.2025","25,67","25,55","26,00","25,02","151,43M","-12,69%"
"15.05.2025","29,40","29,76","29,91","29,17","40,52M","-1,21%"
"14.05.2025","29,76","29,62","29,92","29,53","19,69M","0,34%"
"13.05.2025","29,66","29,11","29,71","29,07","20,24M","2,03%"
"12.05.2025","29,07","29,52","29,68","28,87","20,60M","-1,56%"
"09.05.2025","29,53","29,48","30,00","29,46","19,83M","0,41%"
"08.05.2025","29,41","29,50","30,04","29,41","29,47M","0,34%"
"07.05.2025","29,31","28,96","29,35","28,84","31,40M","1,42%"
"06.05.2025","28,90","29,12","29,20","28,80","20,07M","-0,76%"
"05.05.2025","29,12","29,16","29,45","29,01","19,45M","0,76%"
"02.05.2025","28,90","28,90","29,05","28,73","12,29M","-0,10%"
"30.04.2025","28,93","28,41","28,93","28,36","15,87M","1,51%"
"29.04.2025","28,50","28,37","28,72","28,23","15,85M","0,53%"
"28.04.2025","28,35","28,01","28,41","27,85","14,13M","1,21%"
"25.04.2025","28,01","27,70","28,12","27,52","17,87M","1,12%"
"24.04.2025","27,70","28,04","28,06","27,04","37,00M","-1,21%"
"23.04.2025","28,04","27,99","28,22","27,86","13,79M","0,94%"
"22.04.2025","27,78","27,40","27,92","27,35","14,21M","1,28%"
"17.04.2025","27,43","27,68","27,78","27,30","17,29M","-0,80%"
"16.04.2025","27,65","27,78","27,89","27,38","21,74M","-0,43%"
"15.04.2025","27,77","28,03","28,12","27,70","25,43M","-1,07%"
"14.04.2025","28,07","27,97","28,21","27,87","13,38M","0,97%"
"11.04.2025","27,80","27,73","27,90","27,42","14,74M","0,87%"
"10.04.2025","27,56","27,71","27,72","27,14","18,61M","-0,68%"
"09.04.2025","27,75","27,50","28,10","27,09","28,74M","0,43%"
"08.04.2025","27,63","28,03","28,21","27,40","21,86M","-0,18%"
"07.04.2025","27,68","27,88","28,27","27,36","20,52M","-1,07%"
"04.04.2025","27,98","28,20","28,33","27,78","15,60M","-1,86%"
"03.04.2025","28,51","28,26","28,69","28,22","14,79M","0,56%"
"02.04.2025","28,35","28,40","28,55","28,12","9,03M","0,07%"
"01.04.2025","28,33","28,17","28,58","28,01","14,17M","0,50%"
"31.03.2025","28,19","28,50","28,51","27,95","17,64M","-1,57%"
"28.03.2025","28,64","28,69","28,98","28,53","12,42M","-0,17%"
"27.03.2025","28,69","28,82","28,85","28,48","14,39M","-0,42%"
"26.03.2025","28,81","28,50","28,87","28,37","11,88M","1,19%"
"25.03.2025","28,47","28,36","28,75","28,35","15,26M","0,39%"
"24.03.2025","28,36","28,44","28,44","28,09","13,46M","-0,04%"
"21.03.2025","28,37","28,35","28,48","28,07","66,91M","0,42%"
"20.03.2025","28,25","28,36","28,48","28,11","13,99M","-0,49%"
"19.03.2025","28,39","28,51","28,74","28,39","18,92M","-0,39%"
"18.03.2025","28,50","28,46","28,65","28,36","16,78M","0,14%"
"17.03.2025","28,46","27,87","28,56","27,84","19,65M","2,08%"
"14.03.2025","27,88","27,53","28,09","27,53","22,84M","1,42%"
"13.03.2025","27,49","27,05","27,62","26,74","18,33M","1,63%"
"12.03.2025","27,05","27,10","27,20","26,95","15,03M","-0,16%"
"11.03.2025","27,09","27,37","27,43","26,89","20,02M","-0,89%"
"10.03.2025","27,34","27,33","27,37","27,01","14,41M","-0,32%"
"07.03.2025","27,42","27,00","27,61","26,88","16,83M","1,19%"
"06.03.2025","27,10","27,29","27,32","26,86","17,82M","-0,14%"
"05.03.2025","27,14","26,69","27,31","26,63","18,08M","-0,62%"
"28.02.2025","27,31","27,95","28,02","27,20","28,25M","-2,32%"
"27.02.2025","27,96","28,03","28,27","27,87","31,09M","-0,39%"
"26.02.2025","28,07","28,48","28,50","27,93","22,48M","-0,57%"
